VTX, IDX, inPosition.x, inPosition.y, inPosition.z, inColor.x, inColor.y, inColor.z, inColor.w
7254, 7254, 313.60278, 90.34731, 41.96396, 41.96396, 0.00, 1.00, 1.00
7255, 7255, 314.10272, 90.34731, 41.32677, 41.32677, 0.00, 1.00, 1.00
7256, 7256, 314.10272, 90.18337, 41.32677, 41.32677, 0.00, 1.00, 1.00
7257, 7257, 314.80457, 90.18337, 41.87739, 41.87739, 0.00, 1.00, 1.00
7258, 7258, 314.80457, 90.18337, 41.87739, 41.87739, 0.00, 1.00, 1.00
7259, 7259, 314.30463, 90.18337, 42.51458, 42.51458, 0.00, 1.00, 1.00
7260, 7260, 314.30463, 90.18337, 42.51458, 42.51458, 0.00, 1.00, 1.00
7261, 7261, 313.60278, 90.18337, 41.96396, 41.96396, 0.00, 1.00, 1.00
7262, 7262, 313.60278, 90.18337, 41.96396, 41.96396, 0.00, 1.00, 1.00
7263, 7263, 314.10272, 90.18337, 41.32677, 41.32677, 0.00, 1.00, 1.00
7264, 7264, 314.10272, 90.34731, 41.32677, 41.32677, 0.00, 1.00, 1.00
7265, 7265, 314.10272, 90.18337, 41.32677, 41.32677, 0.00, 1.00, 1.00
7266, 7266, 314.80457, 90.34731, 41.87739, 41.87739, 0.00, 1.00, 1.00
7267, 7267, 314.80457, 90.18337, 41.87739, 41.87739, 0.00, 1.00, 1.00
7268, 7268, 314.30463, 90.34731, 42.51458, 42.51458, 0.00, 1.00, 1.00
7269, 7269, 314.30463, 90.18337, 42.51458, 42.51458, 0.00, 1.00, 1.00
7270, 7270, 313.60278, 90.34731, 41.96396, 41.96396, 0.00, 1.00, 1.00
7271, 7271, 313.60278, 90.18337, 41.96396, 41.96396, 0.00, 1.00, 1.00
7272, 7272, -3.66458, 23.67043, -108.24567, -108.24567, 0.00, 1.00, 1.00
7273, 7273, -3.27191, 23.67043, -109.04663, -109.04663, 0.00, 1.00, 1.00
7274, 7274, -3.27191, 23.67043, -109.04663, -109.04663, 0.00, 1.00, 1.00
7275, 7275, -2.5447, 23.67043, -108.69012, -108.69012, 0.00, 1.00, 1.00
7276, 7276, -2.5447, 23.67043, -108.69012, -108.69012, 0.00, 1.00, 1.00
