event_id,duration_us,is_draw,action_name,marker_stack,top_marker,asset_marker,material,leaf_marker,num_indices,index_bucket,num_instances,pipeline,blend_state,depth_state,color_write_mask,render_targets,depth_target,texture_key,bound_resources,min_duration_us,max_duration_us
3936,0.819200,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native ACTORSCOMMONMATERIAL.G2D (m: 42 l: 0) > Material 42 > EXPROCKS_STATIC.G3D_0_0_0,Native Render,Native ACTORSCOMMONMATERIAL.G2D (m: 42 l: 0),42,EXPROCKS_STATIC.G3D_0_0_0,1026,1025-4096,1,Native Previewer GLSL Blend 256 (ResourceId::15346),"rt0:blend=on,mask=RGBA",test=on write=on func=CompareFunction.Greater,rt0=RGBA,rt0=2D Color Attachment 3466 (ResourceId::3466),2D Depth/Stencil Attachment 3470 (ResourceId::3470),"GSTexImage Image (128, 128) pallete: 0 (ResourceId::8496) (ImageSampler, addr=Wrap,mip=0,cmp=Never)","Pixel:ReadOnlyResources[0:0]=GSTexImage Image (128, 128) pallete: 0 (ResourceId::8496) (ImageSampler, addr=Wrap,mip=0,cmp=Never); Vertex:ReadWriteResources[0:0]=Buffer 1876 (ResourceId::1876) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[1:0]=Buffer 1882 (ResourceId::1882) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[2:0]=Buffer 1888 (ResourceId::1888) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[3:0]=Buffer 1894 (ResourceId::1894) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue)",0.000000,4.096000
3948,0.102400,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native IRIS_Scene01_Pale.g2d (m: 0 l: 0) > IRIS_Scene01_Pale.g3d_0_0_0,Native Render,Native IRIS_Scene01_Pale.g2d (m: 0 l: 0),0,IRIS_Scene01_Pale.g3d_0_0_0,120,49-256,1,Native Previewer GLSL Blend 256 (ResourceId::15346),"rt0:blend=on,mask=RGBA",test=on write=on func=CompareFunction.Greater,rt0=RGBA,rt0=2D Color Attachment 3466 (ResourceId::3466),2D Depth/Stencil Attachment 3470 (ResourceId::3470),"GSTexImage Image (64, 64) pallete: 0 (ResourceId::10736) (ImageSampler, addr=ClampEdge,mip=0,cmp=Never)","Pixel:ReadOnlyResources[0:0]=GSTexImage Image (64, 64) pallete: 0 (ResourceId::10736) (ImageSampler, addr=ClampEdge,mip=0,cmp=Never); Vertex:ReadWriteResources[0:0]=Buffer 1876 (ResourceId::1876) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[1:0]=Buffer 1882 (ResourceId::1882) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[2:0]=Buffer 1888 (ResourceId::1888) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[3:0]=Buffer 1894 (ResourceId::1894) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue)",0.000000,1.024000
3956,2.764800,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native IRIS_Scene01_Pale.g2d (m: 0 l: 0) > IRIS_Scene01_Pale.g3d_0_0_0,Native Render,Native IRIS_Scene01_Pale.g2d (m: 0 l: 0),0,IRIS_Scene01_Pale.g3d_0_0_0,120,49-256,1,Native Previewer GLSL Blend 256 (ResourceId::15346),"rt0:blend=on,mask=RGBA",test=on write=on func=CompareFunction.Greater,rt0=RGBA,rt0=2D Color Attachment 3466 (ResourceId::3466),2D Depth/Stencil Attachment 3470 (ResourceId::3470),"GSTexImage Image (64, 64) pallete: 0 (ResourceId::10736) (ImageSampler, addr=ClampEdge,mip=0,cmp=Never)","Pixel:ReadOnlyResources[0:0]=GSTexImage Image (64, 64) pallete: 0 (ResourceId::10736) (ImageSampler, addr=ClampEdge,mip=0,cmp=Never); Vertex:ReadWriteResources[0:0]=Buffer 1876 (ResourceId::1876) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[1:0]=Buffer 1882 (ResourceId::1882) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[2:0]=Buffer 1888 (ResourceId::1888) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[3:0]=Buffer 1894 (ResourceId::1894) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue)",0.000000,14.336000
3964,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native IRIS_Scene01_Pale.g2d (m: 0 l: 0) > IRIS_Scene01_Pale.g3d_0_0_0,Native Render,Native IRIS_Scene01_Pale.g2d (m: 0 l: 0),0,IRIS_Scene01_Pale.g3d_0_0_0,120,49-256,1,,,,,,,(none),,0.000000,0.000000
3975,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native AMORTOS_Scene01_L.O.D..g2d (m: 0 l: 0) > AMORTOS_Scene01_L.O.D..g3d_0_1_0,Native Render,Native AMORTOS_Scene01_L.O.D..g2d (m: 0 l: 0),0,AMORTOS_Scene01_L.O.D..g3d_0_1_0,663,257-1024,1,,,,,,,(none),,0.000000,0.000000
3987,0.819200,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native FENCE_PICK_Scene01_Fence_Pick.g2d (m: 0 l: 0) > Material 0 > FENCE_PICK_Scene01_Fence_Pick.g3d_0_0_0,Native Render,Native FENCE_PICK_Scene01_Fence_Pick.g2d (m: 0 l: 0),0,FENCE_PICK_Scene01_Fence_Pick.g3d_0_0_0,108,49-256,1,Native Previewer GLSL Blend 256 (ResourceId::15346),"rt0:blend=on,mask=RGBA",test=on write=on func=CompareFunction.Greater,rt0=RGBA,rt0=2D Color Attachment 3466 (ResourceId::3466),2D Depth/Stencil Attachment 3470 (ResourceId::3470),"GSTexImage Image (64, 32) pallete: 0 (ResourceId::11552) (ImageSampler, addr=Wrap,mip=0,cmp=Never)","Pixel:ReadOnlyResources[0:0]=GSTexImage Image (64, 32) pallete: 0 (ResourceId::11552) (ImageSampler, addr=Wrap,mip=0,cmp=Never); Vertex:ReadWriteResources[0:0]=Buffer 1876 (ResourceId::1876) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[1:0]=Buffer 1882 (ResourceId::1882) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[2:0]=Buffer 1888 (ResourceId::1888) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[3:0]=Buffer 1894 (ResourceId::1894) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue)",0.000000,4.096000
3995,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native FENCE_PICK_Scene01_Fence_Pick.g2d (m: 0 l: 0) > Material 0 > FENCE_PICK_Scene01_Fence_Pick.g3d_0_0_0,Native Render,Native FENCE_PICK_Scene01_Fence_Pick.g2d (m: 0 l: 0),0,FENCE_PICK_Scene01_Fence_Pick.g3d_0_0_0,108,49-256,1,,,,,,,(none),,0.000000,0.000000
4003,0.307200,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native FENCE_PICK_Scene01_Fence_Pick.g2d (m: 0 l: 0) > Material 0 > FENCE_PICK_Scene01_Fence_Pick.g3d_0_0_0,Native Render,Native FENCE_PICK_Scene01_Fence_Pick.g2d (m: 0 l: 0),0,FENCE_PICK_Scene01_Fence_Pick.g3d_0_0_0,108,49-256,1,Native Previewer GLSL Blend 256 (ResourceId::15346),"rt0:blend=on,mask=RGBA",test=on write=on func=CompareFunction.Greater,rt0=RGBA,rt0=2D Color Attachment 3466 (ResourceId::3466),2D Depth/Stencil Attachment 3470 (ResourceId::3470),"GSTexImage Image (64, 32) pallete: 0 (ResourceId::11552) (ImageSampler, addr=Wrap,mip=0,cmp=Never)","Pixel:ReadOnlyResources[0:0]=GSTexImage Image (64, 32) pallete: 0 (ResourceId::11552) (ImageSampler, addr=Wrap,mip=0,cmp=Never); Vertex:ReadWriteResources[0:0]=Buffer 1876 (ResourceId::1876) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[1:0]=Buffer 1882 (ResourceId::1882) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[2:0]=Buffer 1888 (ResourceId::1888) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue); Vertex:ReadWriteResources[3:0]=Buffer 1894 (ResourceId::1894) (ReadWriteBuffer, addr=Wrap,mip=0,cmp=AlwaysTrue)",0.000000,3.072000
4011,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native FENCE_PICK_Scene01_Fence_Pick.g2d (m: 0 l: 0) > Material 0 > FENCE_PICK_Scene01_Fence_Pick.g3d_0_0_0,Native Render,Native FENCE_PICK_Scene01_Fence_Pick.g2d (m: 0 l: 0),0,FENCE_PICK_Scene01_Fence_Pick.g3d_0_0_0,108,49-256,1,,,,,,,(none),,0.000000,0.000000
4019,0.000000,1,vkCmdDrawIndexed(),Native Render > Render Pass [clear: Depth] > Native FENCE_PICK_Scene01_Fence_Pick.g2d (m: 0 l: 0) > Material 0 > FENCE_PICK_Scene01_Fence_Pick.g3d_0_0_0,Native Render,Native FENCE_PICK_Scene01_Fence_Pick.g2d (m: 0 l: 0),0,FENCE_PICK_Scene01_Fence_Pick.g3d_0_0_0,108,49-256,1,,,,,,,(none),,0.000000,0.000000
